ELF Code,Country of formation,Country Code (ISO 3166-1),Jurisdiction of formation,Country sub-division code (ISO 3166-2),Entity Legal Form name Local name,Language,Language Code (ISO 639-1),Entity Legal Form name Transliterated name (per ISO 01-140-10),Abbreviations Local language,Abbreviations transliterated,Date created YYYY-MM-DD (ISO 8601),ELF Status ACTV/INAC,Modification,Modification date YYYY-MM-DD (ISO 8601),Reason
8888,,,,,,,,,,,11/30/2017,ACTV,,,to be used when a new ELF Code (for a legal form not yet on the list) is requested from GLEIF for a jurisdiction which is on the list
9999,,,,,,,,,,,11/30/2017,ACTV,,,to be used for LEIs from a jurisdiction which is not on the list yet
CDOV,Antigua and Barbuda,AG,,,International Business Corporation,English,en,International Business Corporation,,,11/30/2017,ACTV,,,
F0A6,Argentina,AR,,,Sociedad Anonima,Spanish,es,Sociedad Anonima,S.A.,,11/19/2020,ACTV,,,
HZ6C,Argentina,AR,,,Sociedad Cooperativa,Spanish,es,Sociedad Cooperativa,S. Coop.,,11/19/2020,ACTV,,,
WUAZ,Argentina,AR,,,Sociedad Anonima Unipersonal,Spanish,es,Sociedad Anonima Unipersonal,S.A.U.,,11/19/2020,ACTV,,,
CRL9,Aruba,AW,,,Stichting,Dutch,nl,Stichting,,,11/30/2017,ACTV,,,
CYW2,Aruba,AW,,,Vennootschap onder firma,Dutch,nl,Vennootschap onder firma,VOF;vof;V.O.F.;v.o.f.,,11/30/2017,ACTV,,,
GAJN,Aruba,AW,,,Commanditaire vennootschap (1),Dutch,nl,Commanditaire vennootschap (1),,,11/30/2017,ACTV,,,
M27U,Aruba,AW,,,Besloten vennootschap,Dutch,nl,Besloten vennootschap,BV;bv;B.V.;b.v.,,11/30/2017,ACTV,,,
OLAI,Aruba,AW,,,Vereniging,Dutch,nl,Vereniging,,,11/30/2017,ACTV,,,
P65N,Aruba,AW,,,Naamloze vennootschap,Dutch,nl,Naamloze vennootschap,NV;nv;N.V.;n.v.,,11/30/2017,ACTV,,,
PCRJ,Aruba,AW,,,Cooperatieve vereniging,Dutch,nl,Cooperatieve vereniging,,,11/30/2017,ACTV,,,
PT6C,Aruba,AW,,,Eenmanszaak,Dutch,nl,Eenmanszaak,,,11/30/2017,ACTV,,,
REUP,Aruba,AW,,,Aruba vrijgestelde vennootschap,Dutch,nl,Aruba vrijgestelde vennootschap,AVV;avv;A.V.V.;a.v.v.,,11/30/2017,ACTV,,,
T5RL,Aruba,AW,,,Vennootschap buitenlands recht,Dutch,nl,Vennootschap buitenlands recht,,,11/30/2017,ACTV,,,
UV8T,Aruba,AW,,,Maatschap,Dutch,nl,Maatschap,,,11/30/2017,ACTV,,,
V905,Aruba,AW,,,Vennootschap met beperkte aansprakelijkheid,Dutch,nl,Vennootschap met beperkte aansprakelijkheid,VBA;vba;V.B.A.;v.b.a.,,11/30/2017,ACTV,,,
YCV2,Aruba,AW,,,Commanditaire vennootschap (1+),Dutch,nl,Commanditaire vennootschap (1+),,,11/30/2017,ACTV,,,
6W6X,Australia,AU,,,Co-operative,English,en,Co-operative,Co-operative Limited;Cooperative Limited;Co-op Limited;Coop Limited;Co-operative Ltd.;Cooperative Ltd.;Co-opLtd.;Coop Ltd.;Co-operative;Cooperative;Co-op;Coop,,11/30/2017,ACTV,,,
7TPC,Australia,AU,,,Trust,English,en,Trust,,,6/10/2020,ACTV,,,
ADXG,Australia,AU,,,Fund,English,en,Fund,,,6/10/2020,ACTV,,,
BC38,Australia,AU,,,Incorporated association,English,en,Incorporated association,Inc;inc;Inc.;inc.,,11/30/2017,ACTV,,,
J4JC,Australia,AU,,,Limited Partnership,English,en,Limited Partnership,A Limited Partnership;An Incorporated Limited Partnership;LP;LP.;Lp.;Lp;I.L.P;ILP,,11/30/2017,ACTV,,,
